Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c,Id,Name
United States,a00i000000SVR9NAAX,Jun,2016,459671.4,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvifEAD,FR-23712
United States,a00i000000SVR9NAAX,Jun,2016,4586156,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjxEAD,FR-23787
United States,a00i000000SVR9NAAX,Mar,2016,328851.2,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvicEAD,FR-23709
United States,a00i000000SVR9NAAX,Mar,2016,4852496,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjuEAD,FR-23784
United States,a00i000000SVR9NAAX,May,2016,229143.6,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvieEAD,FR-23711
United States,a00i000000SVR9NAAX,May,2016,2922106,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjwEAD,FR-23786
United States,a00i000000SVR9NAAX,Nov,2016,140701.6,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvikEAD,FR-23717
United States,a00i000000SVR9NAAX,Nov,2016,54171,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj9EAD,FR-23742
United States,a00i000000SVR9NAAX,Nov,2016,3696379,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk2EAD,FR-23792
United States,a00i000000SVR9NAAX,Oct,2016,195969.1,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvijEAD,FR-23716
United States,a00i000000SVR9NAAX,Oct,2016,37613.2,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj8EAD,FR-23741
United States,a00i000000SVR9NAAX,Oct,2016,2794968,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk1EAD,FR-23791
United States,a00i000000SVR9NAAX,Sep,2016,159786.8,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviiEAD,FR-23715
