External_ID__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,CloseDate,Frequency_Cap__c,Frequency_Scope__c,Id,Special_Product__c,StartDate,Target_Age_Freeform_Entry__c,Target_Gender__c
Netherlands Reference number: 20160308,6750,MAX-128858-2016-0227 -- Zalando OLV - NL-BE - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,500000,0,Externally Managed,"Graag de eerste week 250.000 impressies inzetten. De resterende 250.000 impressies gelijkwaardig verdelen over de weken. Graag een pixel plaatsen op click en op view, Light Reaction gaat deze pool gebruiken voor verdere inzet. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.",13.5,CPM,"Jun 5, 2016",3,Per campaign,0063100000fJYbAAAW,Video - Preroll 20s,"May 17, 2016",20-39,Female
Netherlands Reference number: 20160309,1350,MAX-128858-2016-0227 -- Zalando OLV - NL-BE - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,100000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De doelgroep betreft Vrouwen 20-39 jaar en Turbine segment Style & Fashion. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten. : Style & Fashion,13.5,CPM,"Jun 5, 2016",3,Per campaign,0063100000fJYbAAAW,Video - Preroll 20s,"May 17, 2016",20-39,Female
Netherlands Reference number: 20160310,4600,MAX-128858-2016-0227 -- Zalando OLV - NL-BE - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,400000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.,11.5,CPM,"Jun 5, 2016",3,Per campaign,0063100000fJYbAAAW,Mobile - Video,"May 17, 2016",20-39,Female
Netherlands Reference number: 20160013,4625.01,2015-01 Activia AV Challenge,Net Cost (Calc Margin),012i0000001EB0nAAG,342593,0,Externally Managed,,13.5,CPM,"Feb 7, 2016",3,Per campaign,0063100000fJYbbAAG,Video - Preroll 20s,"Jan 1, 2016",25-40,Female
Netherlands Reference number: 20160311,5250,MAX-128858-2016-0227 -- Zalando OLV - NL-BE Flanders - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,210000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten. : Style & Fashion,25,CPM,"Jun 5, 2016",3,Per campaign,0063100000fJYbBAAW,Video - Preroll 20s,"May 17, 2016",,
Netherlands Reference number: 20160313,5400,MAX-128858-2016-0227 -- Zalando OLV - NL-BE Flanders - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,270000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.,20,CPM,"Jun 5, 2016",3,Per campaign,0063100000fJYbBAAW,Video - Preroll 20s,"May 17, 2016",20-39,Female
Netherlands Reference number: 20160026,2337.5,2015-01 Activia AV Good Intentions,Net Cost (Calc Margin),012i0000001EB0nAAG,173148,0,Externally Managed,,13.5,CPM,"Feb 7, 2016",3,Per campaign,0063100000fJYbcAAG,Video - Preroll 20s,"Jan 1, 2016",25-40,Female
Netherlands Reference number: 20160312,3500,MAX-128858-2016-0227 -- Zalando OLV - NL-BE Wallonia - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,140000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten. : Style & Fashion,25,CPM,"Jun 5, 2016",3,Per campaign,0063100000fJYbCAAW,Video - Preroll 20s,"May 17, 2016",,
Netherlands Reference number: 20160314,3600,MAX-128858-2016-0227 -- Zalando OLV - NL-BE Wallonia - May June 2016 -SS16 flight 3,Net Cost (Calc Margin),012i0000001EB0nAAG,180000,0,Externally Managed,Gelijkmatige uitlevering van de impressies over de dagen. De hosting van de video vindt plaats in het Xaxis account. De trackers van Zalando worden verwerkt door GroupM Traffic tezamen met de trackers van Maxus-Helder.  Xaxis plaatst dan weer de trackers van GroupM in het Xaxis account zodat alle 3 de partijen mee kunnen meten.,20,CPM,"Jun 5, 2016",3,Per campaign,0063100000fJYbCAAW,Video - Preroll 20s,"May 17, 2016",20-39,Female
Netherlands Reference number: 20160071,2624.79,Deze campagne is geannuleerd extra kosten zijn voor onze rekening 25-2-16,Net Cost (Calc Margin),012i0000001EB0nAAG,194429,0,Externally Managed,,13.5,CPM,"Mar 13, 2016",3,Per campaign,0063100000fJYbdAAG,Video - Preroll 20s,"Feb 22, 2016",25-40,Female
