Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
Romania,a00i000000QyKQeAAN,May,2016,123162.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Jun,2016,184922.4,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Jul,2016,148399.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Aug,2016,164031.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Sep,2016,194759.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Oct,2016,150640.3,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Nov,2016,184679.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Romania,a00i000000QyKQeAAN,Dec,2016,184679.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Jan,2016,1389271,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Feb,2016,2108411,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Mar,2016,2526054,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Apr,2016,2026438,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,May,2016,2772923,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Jun,2016,2737643,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Jul,2016,2426458,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Aug,2016,896011.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Sep,2016,2215902,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Oct,2016,3051353,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Nov,2016,2919136,USD,Cartesis,Q3RF 2016,Xaxis,Market
Italy,a00i000000GIJlCAAX,Dec,2016,2200271,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Jan,2016,142138.3,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Feb,2016,137238.1,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Mar,2016,229159.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Apr,2016,157932.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,May,2016,209475.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Jun,2016,274626.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Jul,2016,232504.4,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Aug,2016,130842.1,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Sep,2016,156597.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Oct,2016,321400.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Nov,2016,233097.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
Portugal,a00i000000GIJlGAAX,Dec,2016,158679,USD,Cartesis,Q3RF 2016,Xaxis,Market
EMEA-Market,a00i000000GIJlAAAX,Jan,2016,23918.05,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Feb,2016,103182,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Mar,2016,-93000,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Apr,2016,-34100,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,May,2016,50559.45,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Jun,2016,-2932.6,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Jul,2016,-47626.85,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Aug,2016,50458.7,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Sep,2016,-2204.1,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Oct,2016,14337.5,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Nov,2016,109000.6,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Jan,2016,237022.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Feb,2016,322209,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Mar,2016,431114.9,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Apr,2016,502825.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,May,2016,509559.7,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Jun,2016,677490.7,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Jul,2016,481276.9,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Aug,2016,301188,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Sep,2016,450191,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Oct,2016,513078.1,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Nov,2016,664622.8,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Poland,a00i000000GIJlFAAX,Dec,2016,620863,USD,Cartesis,Q3RF 2016,Light Reaction,Market
EMEA-Market,a00i000000GIJlAAAX,Jan,2016,503545.4,USD,Cartesis,Q3RF 2016,Xaxis,Market
EMEA-Market,a00i000000GIJlAAAX,Feb,2016,632604.6,USD,Cartesis,Q3RF 2016,Xaxis,Market
EMEA-Market,a00i000000GIJlAAAX,Mar,2016,1018350,USD,Cartesis,Q3RF 2016,Xaxis,Market
EMEA-Market,a00i000000GIJlAAAX,Apr,2016,768784.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
EMEA-Market,a00i000000GIJlAAAX,May,2016,915544.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
